Tarih,Tahmin
2011-12-10,0.0
2011-12-11,23452.47
2011-12-12,83886.26
2011-12-13,62480.26
2011-12-14,54904.32
2011-12-15,53507.71
2011-12-16,42058.54
2011-12-17,0.0
2011-12-18,23054.27
2011-12-19,59341.85
2011-12-20,55804.06
2011-12-21,46281.32
2011-12-22,42327.58
2011-12-23,36136.65
2011-12-24,0.0
2011-12-25,14345.93
2011-12-26,27991.57
2011-12-27,48580.44
2011-12-28,32129.9
2011-12-29,37407.7
2011-12-30,21171.7
2011-12-31,0.0
2012-01-01,16211.97
2012-01-02,22081.36
2012-01-03,44223.76
2012-01-04,28715.13
2012-01-05,33443.43
2012-01-06,22415.4
2012-01-07,0.0
2012-01-08,20226.11
