Tarih,Satis,Tahmin
2011-08-22,29443.54,24743.86
2011-08-23,25623.59,27304.45
2011-08-24,47190.62,34341.54
2011-08-25,22707.18,47454.58
2011-08-26,25370.19,26883.96
2011-08-27,0.0,200.98
2011-08-28,10686.56,13116.07
2011-08-29,0.0,17166.51
2011-08-30,29219.37,24690.49
2011-08-31,23786.02,24676.82
2011-09-01,36790.83,30891.23
2011-09-02,40007.08,22572.81
2011-09-03,0.0,-182.38
2011-09-04,16878.74,15047.37
2011-09-05,36376.35,27657.81
2011-09-06,27998.06,28225.32
2011-09-07,31881.4,26577.64
2011-09-08,26609.17,34604.67
2011-09-09,29592.43,22024.33
2011-09-10,0.0,-85.79
2011-09-11,34954.92,27397.5
2011-09-12,29297.96,32132.61
2011-09-13,54071.49,30616.29
2011-09-14,23347.59,26680.61
2011-09-15,74626.49,43404.51
2011-09-16,26982.27,37560.7
2011-09-17,0.0,897.69
2011-09-18,15637.9,20168.32
2011-09-19,46030.92,41569.1
2011-09-20,108364.34,43345.28
2011-09-21,45995.62,44431.64
2011-09-22,58492.17,37824.49
2011-09-23,39013.6,50877.08
2011-09-24,0.0,427.77
2011-09-25,30966.78,27412.78
2011-09-26,28501.76,51949.14
2011-09-27,35107.1,43034.42
2011-09-28,42544.95,42607.48
2011-09-29,45887.74,44579.92
2011-09-30,43287.72,41695.35
2011-10-01,0.0,-1525.5
2011-10-02,11531.56,17469.94
2011-10-03,61786.28,26437.18
2011-10-04,47597.68,43636.17
2011-10-05,74686.4,46413.13
2011-10-06,61849.31,52390.28
2011-10-07,52905.37,53817.18
2011-10-08,0.0,1697.41
2011-10-09,12273.1,27249.6
2011-10-10,46232.7,40543.54
2011-10-11,51854.46,52311.24
2011-10-12,30862.88,62403.75
2011-10-13,35688.09,47857.82
2011-10-14,35112.42,42849.02
2011-10-15,0.0,182.4
2011-10-16,21767.55,15800.13
2011-10-17,49346.75,67322.6
2011-10-18,44360.78,54655.91
2011-10-19,34932.57,31887.64
2011-10-20,60733.53,40380.09
2011-10-21,62978.39,40720.05
2011-10-22,0.0,4184.1
2011-10-23,12106.19,26485.12
2011-10-24,44948.77,41022.43
2011-10-25,39887.45,44053.91
2011-10-26,36011.89,36592.63
2011-10-27,48190.77,40628.96
2011-10-28,39845.95,33042.08
2011-10-29,0.0,232.73
2011-10-30,33981.41,14488.11
2011-10-31,52591.72,46709.74
2011-11-01,28809.9,60167.06
2011-11-02,44868.41,63114.07
2011-11-03,62590.96,62378.19
2011-11-04,61799.62,48830.88
2011-11-05,0.0,-298.62
2011-11-06,42153.85,26985.14
2011-11-07,84300.01,66354.31
2011-11-08,54617.93,71098.44
2011-11-09,64865.13,72268.39
2011-11-10,68593.52,73125.62
2011-11-11,52913.44,47001.54
2011-11-12,0.0,-376.05
2011-11-13,32666.69,27416.77
2011-11-14,111398.61,79248.38
2011-11-15,58328.16,71487.79
2011-11-16,62358.29,61107.66
2011-11-17,58821.66,54385.71
2011-11-18,49613.18,48128.78
2011-11-19,0.0,-795.72
2011-11-20,33058.46,29739.42
2011-11-21,48538.76,54619.86
2011-11-22,62098.8,51935.67
2011-11-23,76084.45,53196.28
2011-11-24,48787.6,54291.02
2011-11-25,46959.52,37968.68
2011-11-26,0.0,7.34
2011-11-27,20273.09,25972.96
2011-11-28,54429.43,46814.92
2011-11-29,68148.41,55078.74
2011-11-30,56188.1,46542.78
2011-12-01,50755.15,56227.27
2011-12-02,55917.17,47384.1
2011-12-03,0.0,-1103.14
2011-12-04,24243.47,29209.97
2011-12-05,80061.23,62239.23
2011-12-06,55257.31,53250.24
2011-12-07,72799.09,49319.86
2011-12-08,77571.19,52961.26
2011-12-09,198094.64,55582.64
